Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9 Signature10 Signature11 Signature12 Signature13 Signature14 Signature15 Signature16 Signature17 Signature18 Signature20
CCC>CGC 0.00525426445709195 0.000971057873542129 0.00687456444499444 0.00541154769301956 0.00376168132629727 0.00344943601656498 0.00665885709180991 0.00456921477379157 0.00739111439466299 0.0105036897040187 0.0074426299996661 0.00342692194301668 0.00644952820007908 0.0025488560347117 0.0035915084705499 0.0124423085643335 0.00387293490340916 0.0194444476909031 0.00910427703889557
CCG>CGG 0.00131972448602739 0.000128936597589621 0.0011964450948899 0.000347479137812665 0.00257321069286163 0.00869413681817513 0.00380823644563184 0.00148038317066847 0.00129980114156142 0.0105608669054862 0.0148762347803473 0.0139090741835142 0.00459087249294073 0.00292097340721326 0.00175723674227006 0.00153705420637716 0.00161340750463111 0.0116778212239623 0.00192326035407027
CCT>CGT 0.00881145891038848 0.00621834817047353 0.00887101989255037 0.00499868279438783 0.00190432568717204 0.00291810560236128 0.00634106678741788 0.00207301917478851 0.00258922194135752 0.00816684878628857 0.00757265847824179 0.00656017674707281 0.00519951145031051 0.00761782069725232 0.00419512621472557 0.0134812125745859 0.0207419074265216 0.00853932289269707 0.011467882286822
GCA>GGA 0.00352678417265839 0.00126183705549698 0.00270261126313293 0.00181777265048773 0.00405394569703372 0.00227201591191113 0.00226543725298375 0.000738945208714624 0.00565925240530196 0.00260789812256416 0.0167847579683465 0.00420003746136629 0.0132711806805857 0.0032440593290516 0.00371492141690853 0.00131347896330516 0.00631591520691791 0.00966103903061977 0.00635593533307032
GCC>GGC 0.00348276855880775 0.00115294769319246 0.00439507305478966 0.00129045740292457 0.00389659829205773 0.00234818752805897 0.0016774957469116 0.0060702981464893 0.00658290644154407 0.0127866038832649 0.00619966184385904 0.00130129868021053 0.0014454392571025 0.00769672464579807 0.00976182652059857 0.00448656625749389 0.0248395766120747 0.0317795870996284 0.00293714898666421
GCG>GGG 0.000489112361046867 0.000204411222741086 0.00110743941842701 0.000657427049436616 0.000730585095589671 0.0028281600147498 0.00567552574460899 0.000507461036262981 0.00154929538743677 0.00442821951767687 0.00882087513587415 0.00918558442595596 0.00652444552083988 0.00172513139667482 0.000975565751599989 0.000923786128568257 0.00231813048894216 0.00620183490244667 0.000541153318837049
GCT>GGT 0.00491139042454641 0.00103231559478453 0.0110827359673435 0.00268597556158209 0.00246309147942677 0.00431530858108355 0.00118970474435975 0.00200620770904383 0.00472801826663442 0.00629787038172902 0.00663111090746881 0.00684939796369226 0.00531387539716924 0.0102307615557691 0.00250489566868004 0.00434321778192674 0.00376507533361998 0.0169830523355267 0.00945706312523998
TCA>TGA 0.00593233138919618 0.213540237298595 0.00965031742568391 0.0049134356277972 0.000881805438267258 0.00399727669349122 0.0115946639687886 0.014274480829181 0.0129843636177324 0.0037083017605419 0.00788566300856583 0.00470890524835261 0.00799540604908478 0.019649066907471 0.00654273364109202 0.00412901851970984 0.00604389338106522 0.00877075186078626 0.0105879045443659
TCC>TGC 0.00823182456990485 0.0460997780451279 0.00348121157784022 0.00187958614745689 0.00333666664354278 0.00279166502469206 0.013030922365447 0.00221388483941735 0.0158679687416887 0.0083785846170964 0.0139294616283188 0.0215802954596281 0.00380345102995406 0.0030647811084855 0.0106276681348495 0.00426089963873392 0.00477903920805587 0.0152376953287473 0.0158762928857674
TCG>TGG 0.000999114326107592 0.00704972492254589 0.00111455383086814 0.00211683945839743 4.97858054947361e-05 0.0012335568741269 0.0151946494510539 0.00205445289282682 0.00484444427672898 0.00228122618697807 0.0032692764286755 0.000635264715469953 0.00501273684562671 0.00291235045830267 0.00147581395370481 0.00162374192520379 0.00551755260751481 0.00182293911703583 0.0131822157813614
TCT>TGT 0.0175596428140299 0.239459703249228 0.00736885124946151 0.00905396909860084 0.00126613995692052 0.00615532242383949 0.00302592337106851 0.0125455421987014 0.0194701143384036 0.0061886459529494 0.0153145794363788 0.00464034826123142 0.0199416601464853 0.00819127391077287 0.00979841889435061 0.0108316892298575 0.0107338393237762 0.0170834638695928 0.00743775130146966
ACA>ATA 0.0328425951836202 0.00503144177194853 0.0117765996049519 0.00870547044845497 0.00694379972870154 0.0225530913658148 0.0104355018576494 0.0177324641477332 0.0121876711755605 0.0376286985995743 0.00753720978987449 0.0358379714082763 0.0307697485442038 0.0207382297803559 0.0154835845453337 0.00320830039268964 0.0280283141061278 0.0101114912062095 0.0113634740309774
ACC>ATC 0.0186379239138626 0.00276617220333202 0.00219719902533418 0.00191685583826333 0.00371458606034526 0.0137824446416416 0.00885716846430818 0.00612816727505666 0.0156322636809508 0.00997293830371551 0.021754529690037 0.0176466064327723 0.0390211263789515 0.00192928890802168 0.00906144462752458 0.00216521080233998 0.00376482187809368 0.00986144287480676 0.00619843616712087
ACG>ATG 0.050414116170514 0.00507514333282774 0.00348547680042894 0.0205479172967549 0.0260948886623175 0.105497660249615 0.12233171785438 0.0187399129252199 0.0652937093426078 0.00635629122591358 0.0204731096675909 0.00264972498451515 0.0215707885570149 0.00742640009623311 0.00768274391863124 0.0078923036031781 0.00677652240408939 0.0209102790407658 0.0184325165885213
ACT>ATT 0.0201955846064681 0.00235546759011902 0.0050692829524999 0.00559636114556006 0.0054553367504393 0.00681353669983704 0.00642603137987894 0.00474006909044558 0.00534250432477643 0.00656522627277279 0.00638050623459137 0.0166352696666095 0.00486389150227201 0.00521786382249713 0.00986975453148572 0.00341847982695121 0.0133027655583054 0.0159852777227182 0.00707477042408877
CCA>CTA 0.0246921074019139 0.00719530777438673 0.00647125307060712 0.00759247266627313 0.00925834014227725 0.00818948529488336 0.00439891522221953 0.0154218345058721 0.0127726561123483 0.0124268908692894 0.0197780533579734 0.00593025960111456 0.0136494139586027 0.00976176934344345 0.00739681456307848 0.00344683269630995 0.00579311173466127 0.0127973352399325 0.00388879111568552
CCC>CTC 0.0189176341748851 0.00251129998199586 0.0104694208410779 0.00256119942833831 0.0106979626074461 0.00428827836164298 0.0174845164101836 0.00530603441897639 0.0131626757450977 0.00830256543839852 0.00461700614236527 0.0339819215051481 0.0123787709295012 0.00896646129790666 0.00509058719703679 0.00554536946480277 0.0134858235532975 0.00772526762716483 0.010641241789497
CCG>CTG 0.02751939073822 0.004056946741425 0.0056253832139448 0.0159320488176417 0.0143400570382107 0.0789082475550958 0.0561822065659118 0.0113281074702923 0.0497540688067406 0.0121620010588297 0.00512852935064829 0.00412807872729652 0.00750308534114438 0.035171471586369 0.00326801023217082 0.0021815522619647 0.00882487641149717 0.0112999886842983 0.0220224979475657
CCT>CTT 0.0318548377564878 0.00609970387085448 0.00756965022473971 0.00748438090835251 0.0147426110398305 0.00760399764256022 0.024698690900221 0.00416350730341247 0.00263943087807775 0.00473957656479701 0.0112231682538088 0.0076053014285157 0.0110829381080522 0.00326705753220347 0.00544349520417187 0.00309556219470919 0.00589152996509458 0.00547160851078292 0.00479484067916722
